entrez	list
50999	Healthy
4179	Healthy
1456	Healthy
55681	Healthy
439	Healthy
25950	Healthy
4179	Healthy
55500	Healthy
5909	Healthy
26273	Healthy
84304	Healthy
1179	Healthy
11282	Healthy
27299	Healthy
9991	Healthy
55754	Healthy
115106	Healthy
404636	Healthy
51107	Healthy
8031	Healthy
1556	Healthy
55331	Healthy
57708	Healthy
50999	Healthy
148534	Healthy
51066	Healthy
51028	Healthy
171425	Healthy
824	Healthy
55500	Healthy
501	Healthy
2330	Healthy
55101	Healthy
196294	Healthy
29953	Healthy
55151	Healthy
51091	Healthy
3570	Healthy
64922	Healthy
8346	Healthy
2886	Healthy
8763	Healthy
191	Healthy
54602	Healthy
220869	Healthy
389816	Healthy
7110	Healthy
399818	Healthy
203427	Healthy
167153	Healthy
3248	Healthy
2710	Healthy
222236	Healthy
149041	Healthy
148534	Healthy
706	Healthy
282969	Healthy
2063	Healthy
54762	Healthy
64081	Healthy
2230	Healthy
2857	Healthy
440193	Healthy
10635	Healthy
218	Healthy
10788	Healthy
51147	Healthy
27299	Healthy
7581	Healthy
57228	Healthy
55437	Healthy
54810	Healthy
56925	Healthy
158747	Healthy
7518	Healthy
60682	Healthy
79818	Healthy
64756	Healthy
1787	Healthy
51117	Healthy
84188	Healthy
8346	Healthy
829	Healthy
578	Healthy
51397	Healthy
892	Healthy
54819	Healthy
51170	Healthy
10006	Healthy
100505946	Healthy
79694	Healthy
171425	Healthy
6296	Healthy
900	Healthy
130	Healthy
4888	Healthy
51110	Healthy
54981	Healthy
283551	Healthy
92399	Healthy
2063	Healthy
829	Healthy
578	Healthy
1164	Healthy
27315	Healthy
51122	Healthy
54677	Healthy
27315	Healthy
8428	Healthy
51201	Healthy
9053	Healthy
1962	Healthy
8346	Healthy
10254	Healthy
132158	Healthy
55715	Healthy
339	Healthy
8346	Healthy
5597	Healthy
7009	Healthy
27230	Healthy
51560	Healthy
55500	Healthy
145957	Healthy
54902	Healthy
8804	Healthy
36	Healthy
8800	Healthy
83856	Healthy
52	Healthy
400	Healthy
3161	Healthy
55754	Healthy
5164	Healthy
10397	Healthy
84895	Healthy
64417	Healthy
8346	Healthy
3417	Healthy
2101	Healthy
55500	Healthy
10162	Healthy
24146	Healthy
29986	Healthy
8346	Healthy
5825	Healthy
9419	Healthy
23228	Healthy
55681	Healthy
1556	Healthy
79783	Healthy
79799	Healthy
10005	Healthy
2329	Healthy
10380	Healthy
5467	Healthy
81537	Healthy
51136	Healthy
55041	Healthy
11320	Healthy
10677	Healthy
6715	Healthy
51094	Healthy
51560	Healthy
5955	Healthy
26751	Healthy
5959	Healthy
126969	Healthy
7411	Healthy
27124	Healthy
285381	Healthy
55754	Healthy
55500	Healthy
2710	Healthy
824	Healthy
55170	Healthy
5495	Healthy
79782	Healthy
81671	Healthy
1719	Healthy
64395	Healthy
6670	Healthy
79006	Healthy
28966	Healthy
55312	Healthy
10062	Healthy
27250	Healthy
4085	Healthy
5873	Healthy
55314	Healthy
51012	Healthy
8674	Healthy
9053	Healthy
9556	Healthy
84102	Healthy
80818	Healthy
4257	Healthy
79154	Healthy
5567	Healthy
23204	Healthy
3336	Healthy
11320	Healthy
2065	Healthy
5096	Healthy
204	Healthy
55314	Healthy
5801	Healthy
875	Healthy
54677	Healthy
312	Healthy
53832	Healthy
79033	Healthy
4089	Healthy
8346	Healthy
60488	Healthy
262	Healthy
3161	Healthy
55902	Healthy
57669	Healthy
8346	Healthy
8898	Healthy
10225	Healthy
10380	Healthy
90141	Healthy
9255	Healthy
3652	Healthy
8228	Healthy
3597	Healthy
58527	Healthy
8935	Healthy
56925	Healthy
54492	Healthy
55020	Healthy
29097	Healthy
29953	Healthy
6717	Healthy
11261	Healthy
26973	Healthy
7447	Healthy
3921	Healthy
112609	Healthy
9053	Healthy
65983	Healthy
1629	Healthy
23081	Healthy
6369	Healthy
51361	Healthy
9991	Healthy
83719	Healthy
10397	Healthy
54957	Healthy
65983	Healthy
56990	Healthy
55313	Healthy
8346	Healthy
23600	Healthy
55284	Healthy
8711	Healthy
3146	Healthy
4179	Healthy
11116	Healthy
83999	Healthy
389015	Healthy
8763	Healthy
148327	Healthy
3570	Healthy
2790	Healthy
354	Healthy
8763	Healthy
10438	Healthy
79006	Healthy
84524	Healthy
163486	Healthy
282969	Healthy
83699	Healthy
23596	Healthy
84061	Healthy
10553	Healthy
94081	Healthy
64802	Healthy
23161	Healthy
5801	Healthy
8780	Healthy
145482	Healthy
202309	Healthy
374291	Healthy
51454	Healthy
2538	Healthy
10005	Healthy
18	Healthy
90333	Healthy
4257	Healthy
79101	Healthy
136895	Healthy
120376	Healthy
9526	Healthy
282679	Healthy
51074	Healthy
81932	Healthy
55897	Healthy
65983	Healthy
8780	Healthy
54908	Healthy
55532	Healthy
57035	Healthy
192134	Healthy
27299	Healthy
5711	Healthy
9991	Healthy
80258	Healthy
10308	Healthy
51074	Healthy
55630	Healthy
26751	Healthy
55629	Healthy
3824	Healthy
79799	Healthy
84146	Healthy
57669	Healthy
6235	Healthy
6199	Healthy
50808	Healthy
91461	Healthy
55600	Healthy
1962	Healthy
8793	Healthy
81930	Healthy
91057	Healthy
10728	Healthy
2065	Healthy
7447	Healthy
23600	Healthy
4232	Healthy
9526	Healthy
29967	Healthy
27299	Healthy
6670	Healthy
2857	Healthy
151295	Healthy
84971	Healthy
578	Healthy
8987	Healthy
4179	Healthy
79866	Healthy
23600	Healthy
55532	Healthy
10592	Healthy
1018	Healthy
83699	Healthy
253012	Healthy
2517	Healthy
79033	Healthy
55632	Healthy
4013	Healthy
54596	Healthy
163486	Healthy
9262	Healthy
7706	Healthy
54677	Healthy
55974	Healthy
4337	Healthy
4783	Healthy
25823	Healthy
83661	Healthy
5265	Healthy
151246	Healthy
2444	Healthy
4862	Healthy
196446	Healthy
3816	Healthy
5468	Healthy
58986	Healthy
65983	Healthy
4225	Healthy
312	Healthy
10553	Healthy
8346	Healthy
55357	Healthy
134548	Healthy
9262	Healthy
9615	Healthy
284723	Healthy
60592	Healthy
622	Healthy
27315	Healthy
6015	Healthy
2263	Healthy
79616	Healthy
780	Healthy
6550	Healthy
55089	Healthy
5468	Healthy
10553	Healthy
5165	Healthy
118471	Healthy
124491	Healthy
3217	Healthy
112479	Healthy
4232	Healthy
5308	Healthy
60592	Healthy
79694	Healthy
81706	Healthy
26872	Healthy
389493	Healthy
1672	Healthy
392636	Healthy
1555	Healthy
91614	Healthy
5151	Healthy
9526	Healthy
57136	Healthy
10269	Healthy
8780	Healthy
3612	Healthy
145376	Healthy
1515	Healthy
35	Healthy
222236	Healthy
10026	Healthy
3012	Healthy
4862	Healthy
63920	Healthy
8987	Healthy
10635	Healthy
253012	Healthy
2591	Healthy
3162	Healthy
5145	Healthy
5801	Healthy
6717	Healthy
29108	Healthy
1050	Healthy
64757	Healthy
5500	Healthy
8346	Healthy
3162	Healthy
9521	Healthy
55521	Healthy
114908	Healthy
10026	Healthy
3162	Healthy
3613	Healthy
55055	Healthy
27306	Healthy
51053	Healthy
7358	Healthy
840	Healthy
364	Healthy
10144	Healthy
9317	Healthy
80224	Healthy
92421	Healthy
10313	Healthy
23673	Healthy
4337	Healthy
57136	Healthy
27284	Healthy
23607	Healthy
100130933	Healthy
64092	Healthy
7358	Healthy
79366	Healthy
4085	Healthy
23600	Healthy
2644	Healthy
9991	Healthy
7581	Healthy
222236	Healthy
1030	Healthy
100130933	Healthy
166824	Healthy
3161	Healthy
10397	Healthy
1033	Healthy
91862	Healthy
1058	Healthy
10263	Healthy
5801	Healthy
10451	Healthy
55041	Healthy
9053	Healthy
6357	Healthy
55872	Healthy
9522	Healthy
84910	Healthy
9847	Healthy
2263	Healthy
1030	Healthy
1033	Healthy
5145	Healthy
26504	Healthy
10863	Healthy
5570	Healthy
57590	Healthy
63904	Healthy
79819	Healthy
144363	Healthy
---	Healthy
10	Healthy
8898	Healthy
9525	Healthy
1058	Healthy
5557	Healthy
5873	Healthy
126859	Healthy
983	Healthy
114569	Healthy
2064	Healthy
55796	Healthy
56998	Healthy
57804	Healthy
5753	Healthy
55198	Healthy
8644	Healthy
84078	Healthy
344	Healthy
10449	Healthy
79695	Healthy
4602	Healthy
100130933	Healthy
26275	Healthy
1033	Healthy
64208	Healthy
122970	Healthy
57804	Healthy
30001	Healthy
10263	Healthy
8634	Healthy
54733	Healthy
2710	Healthy
8538	Healthy
57228	Healthy
10144	Healthy
8763	Healthy
1907	Healthy
199964	Healthy
9043	Healthy
8395	Healthy
10746	Healthy
6717	Healthy
124	Healthy
10026	Healthy
83719	Healthy
29967	Healthy
5753	Healthy
55198	Healthy
283422	Healthy
216	Healthy
6296	Healthy
124872	Healthy
2517	Healthy
29974	Healthy
57380	Healthy
8395	Healthy
11339	Healthy
10438	Healthy
8495	Healthy
840	Healthy
9813	Healthy
85014	Healthy
---	Healthy
57804	Healthy
64081	Healthy
11001	Healthy
259266	Healthy
---	Healthy
51002	Healthy
57698	Healthy
54810	Healthy
57733	Healthy
125893	Healthy
10397	Healthy
56889	Healthy
120425	Healthy
224	Healthy
10863	Healthy
100506658	Healthy
5151	Healthy
10083	Healthy
1515	Healthy
4601	Healthy
1728	Healthy
824	Healthy
7170	Healthy
216	Healthy
840	Healthy
5167	Healthy
3824	Healthy
126859	Healthy
83641	Healthy
440603	Healthy
91860	Healthy
22875	Healthy
53630	Healthy
8836	Healthy
3485	Healthy
202309	Healthy
56961	Healthy
3218	Healthy
229	Healthy
8987	Healthy
7305	Healthy
4760	Healthy
875	Healthy
57035	Healthy
123264	Healthy
4121	Healthy
79783	Healthy
124491	Healthy
27124	Healthy
338645	Healthy
6566	Healthy
152189	Healthy
23527	Healthy
58489	Healthy
219855	Healthy
10144	Healthy
1174	Healthy
219855	Healthy
64922	Healthy
6655	Healthy
2857	Healthy
5570	Healthy
27141	Healthy
1633	Healthy
1515	Healthy
148418	Healthy
51	Healthy
175	Healthy
6519	Healthy
2169	Healthy
5265	Healthy
55198	Healthy
440603	Healthy
9121	Healthy
79170	Healthy
148534	Healthy
5908	Healthy
9615	Healthy
6809	Healthy
3570	Healthy
5756	Healthy
9783	Healthy
1075	Healthy
9522	Healthy
5025	Healthy
3161	Healthy
341032	Healthy
8334	Healthy
23600	Healthy
135932	Healthy
---	Healthy
80157	Healthy
1033	Healthy
11320	Healthy
229	Healthy
2207	Healthy
54913	Healthy
219855	Healthy
216	Healthy
9912	Healthy
23035	Healthy
1044	Healthy
123264	Healthy
35	Healthy
140738	Healthy
4189	Healthy
9768	Healthy
10608	Healthy
344	Healthy
55074	Healthy
1906	Healthy
196410	Healthy
10239	Healthy
81788	Healthy
55616	Healthy
440603	Healthy
2744	Healthy
154043	Healthy
221035	Healthy
10105	Healthy
79154	Healthy
1672	Healthy
7039	Healthy
8763	Healthy
123	Healthy
840	Healthy
440603	Healthy
9768	Healthy
3257	Healthy
5412	Healthy
84275	Healthy
387849	Healthy
80224	Healthy
1428	Healthy
1562	Healthy
166968	Healthy
4751	Healthy
55556	Healthy
160365	Healthy
6549	Healthy
344	Healthy
229	Healthy
3113	Healthy
79849	Healthy
3017	Healthy
1318	Healthy
4751	Healthy
875	Healthy
---	Healthy
10050	Healthy
53630	Healthy
94122	Healthy
6809	Healthy
81831	Healthy
9060	Healthy
1404	Healthy
1195	Healthy
1018	Healthy
713	Healthy
54884	Healthy
5167	Healthy
608	Healthy
90871	Healthy
6584	Healthy
10788	Healthy
51386	Healthy
123	Healthy
84102	Healthy
3514	Healthy
126	Healthy
10959	Healthy
140	Healthy
3174	Healthy
3012	Healthy
58489	Healthy
1942	Healthy
3859	Healthy
4085	Healthy
54097	Healthy
136306	Healthy
10555	Healthy
3820	Healthy
3514	Healthy
8764	Healthy
10451	Healthy
5333	Healthy
---	Healthy
84647	Healthy
134285	Healthy
5832	Healthy
64284	Healthy
10279	Healthy
3824	Healthy
80221	Healthy
26157	Healthy
55314	Healthy
1033	Healthy
6505	Healthy
401466	Healthy
3017	Healthy
5570	Healthy
283316	Healthy
80323	Healthy
127845	Healthy
11132	Healthy
---	Healthy
219855	Healthy
9429	Healthy
54852	Healthy
1776	Healthy
27236	Healthy
112399	Healthy
91862	Healthy
55331	Healthy
8346	Healthy
7064	Healthy
126	Healthy
3109	Healthy
51	Healthy
85477	Healthy
3109	Healthy
1562	Healthy
3158	Healthy
3512	Healthy
4760	Healthy
79983	Healthy
---	Healthy
85477	Healthy
1942	Healthy
3294	Healthy
2705	Healthy
5009	Healthy
27290	Healthy
727936	Healthy
51454	Healthy
9429	Healthy
94081	Healthy
6566	Healthy
171586	Healthy
1033	Healthy
143872	Healthy
54502	Healthy
---	Healthy
140738	Healthy
79153	Healthy
10083	Healthy
3113	Healthy
388335	Healthy
54575	Healthy
1728	Healthy
1058	Healthy
9099	Healthy
283422	Healthy
5645	Healthy
56159	Healthy
9768	Healthy
---	Healthy
9060	Healthy
5318	Healthy
5028	Healthy
54575	Healthy
54575	Healthy
8346	Healthy
79616	Healthy
100288152	Healthy
643008	Healthy
63928	Healthy
653567	Healthy
3988	Healthy
---	Healthy
126969	Healthy
5948	Healthy
6519	Healthy
3017	Healthy
146439	Healthy
---	Healthy
79154	Healthy
5184	Healthy
5570	Healthy
3514	Healthy
288	Healthy
28823	Healthy
54575	Healthy
113828	Healthy
3514	Healthy
290	Healthy
643008	Healthy
10050	Healthy
10592	Healthy
3514	Healthy
---	Healthy
58475	Healthy
1562	Healthy
23624	Healthy
54575	Healthy
3149	Healthy
54575	Healthy
---	Healthy
157570	Healthy
5265	Healthy
2744	Healthy
79814	Healthy
54575	Healthy
30061	Healthy
5570	Healthy
55010	Healthy
83641	Healthy
2444	Healthy
1633	Healthy
53345	Healthy
54845	Healthy
91319	Healthy
153768	Healthy
23607	Healthy
119391	Healthy
116842	Healthy
10592	Healthy
7153	Healthy
2650	Healthy
6358	Healthy
91862	Healthy
288	Healthy
5603	Healthy
1644	Healthy
288	Healthy
6690	Healthy
9768	Healthy
7464	Healthy
54566	Healthy
54509	Healthy
8346	Healthy
54596	Healthy
81831	Healthy
5918	Healthy
54793	Healthy
54575	Healthy
3512	Healthy
8294	Healthy
10110	Healthy
283422	Healthy
7941	Healthy
64946	Healthy
163702	Healthy
9582	Healthy
200931	Healthy
51	Healthy
259266	Healthy
10635	Healthy
6039	Healthy
83641	Healthy
3662	Healthy
7739	Healthy
200315	Healthy
5357	Healthy
113452	Healthy
6809	Healthy
55124	Healthy
875	Healthy
11148	Healthy
3109	Healthy
341	Healthy
6519	Healthy
144347	Healthy
131076	Healthy
54857	Healthy
192134	Healthy
159371	Healthy
25797	Healthy
341	Healthy
5967	Healthy
1800	Healthy
26298	Healthy
688	Healthy
113452	Healthy
51316	Healthy
343	Healthy
4069	Healthy
51203	Healthy
80201	Healthy
100506658	Healthy
3823	Healthy
51454	Healthy
8346	Healthy
5918	Healthy
4246	Healthy
8612	Healthy
113452	Healthy
290	Healthy
6917	Healthy
135932	Healthy
---	Healthy
84833	Healthy
3038	Healthy
83998	Healthy
